G, 1, T, T, 1, G, 1, 1, 1, 1, 1, 1, G, G, G
G, 1, 2, 2, 1, G, 2, T, 2, 1, T, 1, G, G, G
G, 1, 1, 1, G, G, 2, T, 3, 2, 1, 1, G, 1, 1
G, 1, T, 1, G, G, 1, 2, T, 1, G, G, G, 1, T
G, 1, 2, 2, 1, G, G, 2, 2, 2, G, G, G, 1, 1
G, G, 1, T, 2, 1, 1, 1, T, 1, G, G, G, G, G
1, 1, 3, 2, 4, T, 3, 2, 1, 1, G, 1, 1, 2, 1
1, T, 2, T, 3, T, T, 2, 1, G, G, 1, T, 2, T
1, 1, 3, 2, 3, 2, 3, T, 1, G, 1, 2, 2, 2, 1
G, G, 1, T, 1, G, 1, 2, 2, 1, 1, T, 1, G, G
G, G, 1, 1, 2, 1, 2, 2, T, 1, 1, 1, 1, G, G
G, G, G, G, 1, T, 3, T, 4, 2, 2, 2, 2, 1, G
G, G, 1, 1, 2, 1, 3, T, 3, T, 2, T, T, 2, G
G, G, 1, T, 1, G, 2, 2, 3, 1, 2, 3, T, 2, G
G, G, 1, 1, 1, G, 1, T, 1, G, G, 1, 1, 1, G
